datetime,business date,date,time,open,high,low,close,volume
2025-02-03 09:30:00,2025-02-03,2025-02-03,09:30:00,20048.87,20048.87,20048.87,20048.87,210367186
2025-02-03 09:31:00,2025-02-03,2025-02-03,09:31:00,20040.03,20125.38,20040.03,20125.38,233333295
2025-02-03 09:32:00,2025-02-03,2025-02-03,09:32:00,20120.99,20129.47,20098.0,20098.0,85137616
2025-02-03 09:33:00,2025-02-03,2025-02-03,09:33:00,20097.95,20097.95,19996.73,20040.94,101702443
2025-02-03 09:34:00,2025-02-03,2025-02-03,09:34:00,20039.3,20039.3,20005.9,20014.28,66246961
2025-02-03 09:35:00,2025-02-03,2025-02-03,09:35:00,20017.72,20017.72,19976.65,19976.65,50143784
2025-02-03 09:36:00,2025-02-03,2025-02-03,09:36:00,19981.35,19981.35,19936.51,19937.73,80728947
2025-02-03 09:37:00,2025-02-03,2025-02-03,09:37:00,19935.57,19939.85,19899.97,19899.97,132488488
2025-02-03 09:38:00,2025-02-03,2025-02-03,09:38:00,19900.97,19924.88,19900.97,19919.43,86559568
2025-02-03 09:39:00,2025-02-03,2025-02-03,09:39:00,19921.98,19921.98,19903.48,19910.86,63078429
2025-02-03 09:40:00,2025-02-03,2025-02-03,09:40:00,19906.06,19909.95,19845.92,19854.53,101500533
2025-02-03 09:41:00,2025-02-03,2025-02-03,09:41:00,19855.05,19861.78,19842.57,19850.92,77803640
2025-02-03 09:42:00,2025-02-03,2025-02-03,09:42:00,19854.97,19854.97,19811.75,19823.42,65386191
2025-02-03 09:43:00,2025-02-03,2025-02-03,09:43:00,19821.79,19821.94,19802.64,19807.48,39634283
2025-02-03 09:44:00,2025-02-03,2025-02-03,09:44:00,19803.88,19812.98,19800.46,19811.12,44619822
2025-02-03 09:45:00,2025-02-03,2025-02-03,09:45:00,19811.9,19825.37,19810.21,19815.63,69355804
2025-02-03 09:46:00,2025-02-03,2025-02-03,09:46:00,19819.74,19840.48,19809.26,19835.53,47629143
2025-02-03 09:47:00,2025-02-03,2025-02-03,09:47:00,19835.97,19873.85,19835.58,19867.42,60628512
2025-02-03 09:48:00,2025-02-03,2025-02-03,09:48:00,19870.03,19879.75,19866.42,19875.1,34814495
2025-02-03 09:49:00,2025-02-03,2025-02-03,09:49:00,19873.75,19890.4,19868.0,19869.57,35878586
2025-02-03 09:50:00,2025-02-03,2025-02-03,09:50:00,19869.77,19884.11,19863.14,19865.33,32063903
2025-02-03 09:51:00,2025-02-03,2025-02-03,09:51:00,19865.22,19866.83,19857.98,19860.67,26799715
2025-02-03 09:52:00,2025-02-03,2025-02-03,09:52:00,19860.28,19863.62,19851.69,19863.62,32168756
2025-02-03 09:53:00,2025-02-03,2025-02-03,09:53:00,19862.56,19885.67,19862.56,19863.35,42457434
2025-02-03 09:54:00,2025-02-03,2025-02-03,09:54:00,19864.04,19892.07,19859.23,19877.29,29983342
2025-02-03 09:55:00,2025-02-03,2025-02-03,09:55:00,19876.2,19877.62,19853.66,19854.52,31384337
2025-02-03 09:56:00,2025-02-03,2025-02-03,09:56:00,19857.37,19861.09,19850.49,19855.38,47156432
2025-02-03 09:57:00,2025-02-03,2025-02-03,09:57:00,19854.1,19857.57,19851.01,19855.92,48235684
2025-02-03 09:58:00,2025-02-03,2025-02-03,09:58:00,19856.28,19859.11,19848.77,19853.14,28336194
2025-02-03 09:59:00,2025-02-03,2025-02-03,09:59:00,19851.11,19873.4,19851.11,19871.83,33960296
2025-02-03 10:00:00,2025-02-03,2025-02-03,10:00:00,19876.78,19921.1,19876.78,19921.1,58297192
2025-02-03 10:01:00,2025-02-03,2025-02-03,10:01:00,19919.87,19927.78,19893.74,19893.74,58854722
2025-02-03 10:02:00,2025-02-03,2025-02-03,10:02:00,19890.33,19890.33,19857.43,19857.73,58411594
2025-02-03 10:03:00,2025-02-03,2025-02-03,10:03:00,19858.12,19861.57,19840.81,19860.72,31031655
2025-02-03 10:04:00,2025-02-03,2025-02-03,10:04:00,19862.82,19869.23,19853.01,19853.45,32152472
2025-02-03 10:05:00,2025-02-03,2025-02-03,10:05:00,19851.13,19854.24,19843.75,19848.9,23958237
2025-02-03 10:06:00,2025-02-03,2025-02-03,10:06:00,19848.37,19848.37,19830.61,19844.07,40526631
2025-02-03 10:07:00,2025-02-03,2025-02-03,10:07:00,19846.71,19846.71,19824.21,19826.77,24647023
2025-02-03 10:08:00,2025-02-03,2025-02-03,10:08:00,19823.71,19833.91,19818.29,19826.58,27723447
2025-02-03 10:09:00,2025-02-03,2025-02-03,10:09:00,19828.25,19830.27,19822.79,19825.63,30079251
2025-02-03 10:10:00,2025-02-03,2025-02-03,10:10:00,19827.05,19829.0,19812.27,19812.61,47897319
2025-02-03 10:11:00,2025-02-03,2025-02-03,10:11:00,19809.83,19809.83,19764.67,19781.07,71903369
2025-02-03 10:12:00,2025-02-03,2025-02-03,10:12:00,19781.75,19795.95,19774.42,19795.47,23437273
2025-02-03 10:13:00,2025-02-03,2025-02-03,10:13:00,19795.75,19795.75,19786.1,19786.96,18513158
2025-02-03 10:14:00,2025-02-03,2025-02-03,10:14:00,19788.14,19791.06,19777.27,19783.79,15573059
2025-02-03 10:15:00,2025-02-03,2025-02-03,10:15:00,19784.63,19807.47,19784.63,19804.34,35510178
2025-02-03 10:16:00,2025-02-03,2025-02-03,10:16:00,19804.64,19813.43,19801.86,19813.43,22614586
2025-02-03 10:17:00,2025-02-03,2025-02-03,10:17:00,19821.39,19846.98,19821.39,19844.31,35058687
2025-02-03 10:18:00,2025-02-03,2025-02-03,10:18:00,19844.69,19853.59,19841.85,19853.0,27954497
2025-02-03 10:19:00,2025-02-03,2025-02-03,10:19:00,19850.39,19862.13,19849.65,19859.28,27708463
2025-02-03 10:20:00,2025-02-03,2025-02-03,10:20:00,19859.78,19914.27,19858.42,19910.2,62263553
2025-02-03 10:21:00,2025-02-03,2025-02-03,10:21:00,19909.62,19924.58,19908.82,19916.1,34537014
2025-02-03 10:22:00,2025-02-03,2025-02-03,10:22:00,19914.02,19927.76,19914.02,19926.01,21197903
2025-02-03 10:23:00,2025-02-03,2025-02-03,10:23:00,19927.48,19943.9,19924.85,19943.9,33968406
2025-02-03 10:24:00,2025-02-03,2025-02-03,10:24:00,19942.89,19944.0,19930.0,19936.14,24164113
2025-02-03 10:25:00,2025-02-03,2025-02-03,10:25:00,19934.81,19937.24,19915.55,19933.09,26046319
2025-02-03 10:26:00,2025-02-03,2025-02-03,10:26:00,19932.75,19956.97,19932.75,19956.97,18826566
2025-02-03 10:27:00,2025-02-03,2025-02-03,10:27:00,19956.55,19965.05,19952.19,19964.34,24440752
2025-02-03 10:28:00,2025-02-03,2025-02-03,10:28:00,19964.07,19966.49,19955.06,19963.24,18255002
2025-02-03 10:29:00,2025-02-03,2025-02-03,10:29:00,19962.97,19983.44,19962.97,19979.25,18032980
2025-02-03 10:30:00,2025-02-03,2025-02-03,10:30:00,19981.13,19981.38,19967.38,19967.96,19319655
2025-02-03 10:31:00,2025-02-03,2025-02-03,10:31:00,19967.41,19968.45,19957.92,19960.31,18345214
2025-02-03 10:32:00,2025-02-03,2025-02-03,10:32:00,19960.5,19969.89,19959.22,19969.89,23977918
2025-02-03 10:33:00,2025-02-03,2025-02-03,10:33:00,19971.62,19974.5,19963.77,19963.82,19461819
2025-02-03 10:34:00,2025-02-03,2025-02-03,10:34:00,19964.59,19964.59,19948.3,19959.02,16823763
2025-02-03 10:35:00,2025-02-03,2025-02-03,10:35:00,19958.75,19960.68,19949.57,19952.75,12779326
2025-02-03 10:36:00,2025-02-03,2025-02-03,10:36:00,19956.45,19959.43,19949.64,19954.55,12463755
2025-02-03 10:37:00,2025-02-03,2025-02-03,10:37:00,19952.76,19953.78,19940.19,19945.48,22491022
2025-02-03 10:38:00,2025-02-03,2025-02-03,10:38:00,19945.52,19963.23,19945.52,19953.9,22194472
2025-02-03 10:39:00,2025-02-03,2025-02-03,10:39:00,19955.77,19958.78,19951.0,19953.0,15187957
2025-02-03 10:40:00,2025-02-03,2025-02-03,10:40:00,19954.14,19954.14,19937.36,19944.89,22647618
2025-02-03 10:41:00,2025-02-03,2025-02-03,10:41:00,19946.51,19964.7,19946.51,19964.42,39392723
2025-02-03 10:42:00,2025-02-03,2025-02-03,10:42:00,19965.15,19973.62,19964.55,19964.8,18413336
2025-02-03 10:43:00,2025-02-03,2025-02-03,10:43:00,19965.58,19966.79,19947.82,19951.56,15564581
2025-02-03 10:44:00,2025-02-03,2025-02-03,10:44:00,19951.56,19956.38,19946.61,19953.85,29077405
2025-02-03 10:45:00,2025-02-03,2025-02-03,10:45:00,19954.4,19963.23,19954.4,19960.25,18637767
2025-02-03 10:46:00,2025-02-03,2025-02-03,10:46:00,19961.05,19961.6,19946.32,19948.27,12187857
2025-02-03 10:47:00,2025-02-03,2025-02-03,10:47:00,19948.09,19954.69,19945.82,19954.69,18944618
2025-02-03 10:48:00,2025-02-03,2025-02-03,10:48:00,19956.09,19956.21,19942.21,19942.21,14149664
2025-02-03 10:49:00,2025-02-03,2025-02-03,10:49:00,19940.44,19947.63,19940.44,19943.31,11689050
2025-02-03 10:50:00,2025-02-03,2025-02-03,10:50:00,19942.58,19943.91,19928.88,19928.88,17079646
2025-02-03 10:51:00,2025-02-03,2025-02-03,10:51:00,19928.24,19928.24,19894.62,19898.03,42795445
2025-02-03 10:52:00,2025-02-03,2025-02-03,10:52:00,19897.72,19901.63,19889.25,19889.25,20917257
2025-02-03 10:53:00,2025-02-03,2025-02-03,10:53:00,19891.0,19903.2,19891.0,19898.08,16250684
2025-02-03 10:54:00,2025-02-03,2025-02-03,10:54:00,19896.65,19900.94,19895.12,19900.94,13887178
2025-02-03 10:55:00,2025-02-03,2025-02-03,10:55:00,19897.76,19900.29,19892.03,19892.03,13412179
